"","file","select_ref_id","num_cell","numlayer_output","K_kmeans_silhouette","K_GMM_BIC","K_Gap","K_dbscan"
"589","118_part_3_patch_1",1,1832,31,6,7,7,65
"590","118_part_3_patch_2",1,1638,19,5,8,7,28
"591","118_part_3_patch_3",1,1688,19,6,7,15,13
"592","118_part_4_patch_1",1,989,24,25,5,6,49
"593","118_part_4_patch_2",1,1895,32,5,6,5,23
"594","118_part_4_patch_3",1,1844,20,5,8,5,14
"595","118_part_4_patch_4",1,1177,18,31,8,28,35
"596","119_part_1_patch_1",1,257,9,21,5,6,12
"597","119_part_1_patch_2",1,314,8,14,6,19,14
"598","119_part_1_patch_3",1,377,8,28,6,17,8
"599","119_part_1_patch_4",1,272,7,35,5,35,12
"600","119_part_1_patch_5",1,455,9,29,5,5,9
"601","120_part_1_patch_1",2,817,16,5,6,25,36
"602","120_part_1_patch_2",1,1331,15,6,10,13,15
"603","120_part_1_patch_3",1,1102,16,5,10,20,23
"604","120_part_2_patch_1",1,987,14,5,9,34,12
"605","120_part_2_patch_2",1,744,13,5,12,24,19
"606","120_part_2_patch_3",1,709,11,5,9,13,11
"607","121_part_1_patch_1",2,544,12,5,8,7,14
"608","121_part_1_patch_2",2,631,14,5,9,5,22
"609","121_part_1_patch_3",2,872,14,5,8,11,17
