"id","boundary_id","x","y"
62876,1,820,1342
85808,1,1436,1205
192442,1,336,77
153648,1,61,317
14758,1,1203,1950
41286,2,2439,1607
122633,1,729,757
76253,1,1298,1265
10538,1,1163,1959
137807,1,93,633
79062,1,1352,1247
173689,1,89,159
171299,1,990,172
147758,1,16,437
42293,1,1245,1590
115655,2,2350,803
114606,2,2346,810
135345,1,118,677
168649,1,912,184
136669,1,114,653
18380,1,697,1918
110944,1,232,833
100955,2,2383,957
195666,1,1288,55
182925,1,1132,115
20673,1,755,1881
102510,2,2385,925
40159,2,2450,1626
160437,1,54,208
31110,1,1032,1768
99098,1,853,990
91264,2,2391,1142
124476,2,2323,746
36625,2,2456,1685
94872,2,2407,1064
183132,1,1147,114
37470,1,1153,1671
86536,2,2397,1202
55140,1,1436,1380
3097,1,916,1974
30228,1,1021,1781
148813,2,2255,415
18115,1,706,1923
192240,1,1278,78
176019,2,2270,148
52505,1,1390,1418
184235,2,2278,109
181368,1,1176,123
139954,1,65,595
8780,1,1121,1962
143510,1,37,524
114711,1,297,809
121843,2,2320,762
32067,1,1046,1754
40715,1,1206,1616
140674,2,2285,581
53356,1,1413,1406
74788,1,1567,1274
51250,1,1358,1438
76751,1,1302,1262
124983,2,2324,743
107109,2,2372,857
17200,2,2491,1939
96570,2,2403,1029
93068,2,2397,1103
107319,1,137,855
159474,1,694,212
27573,2,2469,1817
163294,1,695,200
122271,1,699,759
45255,2,2439,1540
127362,1,651,729
87872,1,1460,1194
90050,2,2392,1165
185629,2,2276,102
154616,2,2269,297
16821,1,1222,1944
108074,1,122,850
177446,1,1063,141
50041,1,1338,1458
39990,1,1172,1628
180115,1,107,128
171063,1,967,173
184546,1,1153,107
147994,1,22,432
29120,1,998,1797
119943,1,360,774
120284,1,752,772
20953,2,2488,1878
158372,1,699,218
8198,1,1127,1963
56693,1,896,1366
47749,1,1303,1497
170722,1,505,174
158870,1,714,215
41583,2,2445,1602
120189,1,119,772
14693,1,1138,1950
28810,2,2456,1801
16816,1,1217,1944
60574,1,903,1351
78641,1,1569,1250
167686,1,76,187
39878,1,1174,1630
197918,2,2270,29
25038,1,829,1842
97413,1,855,1014
160236,1,684,209
89804,1,871,1169
8850,1,1191,1962
27021,1,921,1823
62088,2,2402,1346
66701,1,1106,1321
67944,1,1131,1313
187517,1,1236,93
150659,2,2253,379
187616,1,186,92
32144,1,1055,1753
90879,1,891,1149
59914,1,813,1353
185649,1,134,101
101042,1,817,955
548,1,843,1986
109868,1,84,839
138545,1,71,620
176042,1,81,147
171561,1,493,170
31591,1,1041,1761
189206,1,176,87
169217,1,542,181
172688,1,68,164
34712,1,1109,1716
99559,1,838,983
198432,1,1385,23
5698,1,931,1967
45456,1,1287,1536
166136,1,65,192
106253,1,786,863
144895,1,19,496
190747,1,1265,83
165571,1,641,194
48272,2,2439,1489
132902,1,500,704
5166,1,808,1968
23632,1,846,1854
189086,1,1208,88
141088,2,2292,573
24612,1,873,1846
26251,1,924,1831
142193,2,2267,550
142051,2,2272,553
40961,1,1217,1612
150480,1,31,382
184653,1,119,106
125000,1,115,742
149437,2,2259,403
24955,1,855,1843
152210,1,43,347
23599,1,813,1854
160691,1,850,208
49350,2,2418,1470
107954,1,161,851
46609,2,2443,1517
59803,1,1000,1354
121722,1,109,762
7759,1,1278,1964
176359,1,1038,146
121125,1,344,766
149256,1,30,406
89929,1,891,1167
39316,1,1186,1640
72916,2,2405,1284
122897,1,390,755
61340,1,813,1348
174376,1,984,156
33961,2,2464,1728
56861,1,862,1365
120553,1,717,770
148785,1,14,415
27954,1,954,1812
